Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,120.459999,120.500000,120.269997,120.370003,120.370003,2250900
2019-04-23,119.669998,120.199997,119.550003,120.120003,120.120003,5574800
2019-04-24,120.059998,120.720001,120.040001,120.470001,120.470001,4173000
2019-04-25,120.720001,121.099998,120.500000,120.570000,120.570000,4836900
2019-04-26,121.260002,121.669998,121.220001,121.370003,121.370003,6022700
2019-04-29,120.879997,120.910004,120.669998,120.830002,120.830002,4469300
2019-04-30,120.889999,121.360001,120.849998,121.199997,121.199997,4758600
2019-05-01,121.029999,121.550003,120.180000,120.400002,120.400002,12331800
2019-05-02,119.690002,120.110001,119.540001,119.940002,119.940002,6759600
2019-05-03,120.559998,121.080002,120.480003,120.650002,120.650002,8414400
2019-05-06,120.610001,121.120003,120.540001,120.809998,120.809998,3479600
2019-05-07,121.019997,121.419998,120.910004,121.209999,121.209999,4010700
2019-05-08,121.540001,121.540001,120.769997,120.910004,120.910004,4178800
2019-05-09,120.959999,121.620003,120.860001,121.199997,121.199997,5015500
2019-05-10,121.410004,121.730003,121.300003,121.430000,121.430000,4586000
2019-05-13,122.629997,122.849998,122.330002,122.669998,122.669998,11130900
2019-05-14,122.599998,122.660004,122.120003,122.459999,122.459999,5556000
2019-05-15,122.709999,122.769997,122.220001,122.389999,122.389999,10299000
2019-05-16,122.029999,122.070000,121.190002,121.510002,121.510002,6349400
2019-05-17,121.029999,121.059998,120.330002,120.650002,120.650002,6589300
2019-05-20,120.510002,120.739998,120.419998,120.639999,120.639999,4345800
2019-05-21,120.080002,120.360001,119.830002,120.360001,120.360001,3845600
2019-05-22,120.349998,120.500000,120.190002,120.239998,120.239998,3741800
2019-05-23,120.820000,121.519997,120.769997,121.169998,121.169998,6054600
2019-05-24,121.129997,121.309998,120.889999,121.300003,121.300003,2324700
2019-05-28,120.800003,120.839996,120.459999,120.830002,120.830002,4303500
2019-05-29,121.110001,121.260002,120.750000,120.870003,120.870003,4133200
2019-05-30,120.959999,121.690002,120.800003,121.690002,121.690002,7757000
2019-05-31,122.550003,123.400002,122.320000,123.330002,123.330002,15367000
2019-06-03,124.089996,125.339996,123.900002,125.110001,125.110001,14173600
2019-06-04,124.879997,125.419998,124.610001,125.150002,125.150002,7997100
2019-06-05,126.180000,126.370003,125.239998,125.470001,125.470001,7637900
2019-06-06,125.930000,126.449997,125.800003,125.879997,125.879997,5551800
2019-06-07,126.790001,127.250000,126.320000,126.589996,126.589996,8145900
2019-06-10,125.459999,125.529999,125.070000,125.330002,125.330002,5410000
2019-06-11,124.940002,125.400002,124.879997,125.180000,125.180000,4757800
2019-06-12,125.599998,126.199997,125.559998,125.830002,125.830002,5744500
2019-06-13,126.029999,126.769997,125.959999,126.599998,126.599998,5374800
2019-06-14,127.209999,127.629997,126.260002,126.559998,126.559998,9226100
2019-06-17,126.699997,126.769997,126.169998,126.480003,126.480003,4763300
2019-06-18,127.580002,127.750000,126.389999,127.120003,127.120003,10309600
2019-06-19,126.769997,127.989998,126.699997,127.889999,127.889999,11660600
2019-06-20,130.410004,131.490005,130.190002,131.110001,131.110001,18636300
2019-06-21,131.770004,132.169998,131.070007,131.979996,131.979996,15068000
2019-06-24,132.770004,134.039993,132.580002,133.940002,133.940002,17851800
2019-06-25,134.899994,135.550003,133.210007,134.199997,134.199997,24772200
2019-06-26,132.990005,133.550003,132.410004,132.970001,132.970001,12016400
2019-06-27,132.380005,132.970001,132.259995,132.839996,132.839996,8412800
2019-06-28,133.050003,133.339996,132.610001,133.199997,133.199997,8077000
2019-07-01,131.559998,131.759995,130.550003,130.619995,130.619995,13369800
2019-07-02,131.270004,133.630005,131.160004,133.410004,133.410004,13282100
2019-07-03,133.610001,134.100006,133.229996,133.630005,133.630005,6351500
2019-07-05,131.460007,132.320007,130.809998,132.139999,132.139999,11536600
2019-07-08,132.179993,132.339996,131.279999,131.289993,131.289993,8028900
2019-07-09,131.429993,132.100006,131.160004,131.750000,131.750000,6633400
2019-07-10,132.940002,133.869995,132.350006,133.830002,133.830002,13920600
2019-07-11,133.580002,133.699997,132.410004,132.699997,132.699997,7535100
2019-07-12,132.889999,133.690002,132.529999,133.529999,133.529999,6309500
2019-07-15,133.179993,133.529999,132.809998,133.529999,133.529999,4026600
2019-07-16,133.179993,133.300003,132.130005,132.399994,132.399994,7966000
2019-07-17,133.000000,134.600006,132.889999,134.580002,134.580002,11288300
2019-07-18,133.830002,136.630005,133.610001,136.479996,136.479996,18466500
2019-07-19,135.449997,136.029999,133.970001,134.470001,134.470001,18079200
2019-07-22,134.559998,134.820007,134.320007,134.449997,134.449997,7570400
2019-07-23,134.429993,134.949997,133.559998,133.690002,133.690002,9981400
2019-07-24,134.589996,134.839996,133.979996,134.369995,134.369995,6715200
2019-07-25,134.240005,134.279999,133.089996,133.419998,133.419998,11708200
2019-07-26,134.240005,134.289993,133.589996,133.639999,133.639999,6249900
2019-07-29,134.059998,134.729996,133.440002,134.529999,134.529999,9162400
2019-07-30,134.759995,135.179993,134.410004,134.979996,134.979996,9458700
2019-07-31,135.029999,135.419998,133.020004,133.210007,133.210007,18797200
2019-08-01,132.419998,136.429993,132.309998,136.410004,136.410004,27719800
2019-08-02,135.389999,136.600006,135.369995,135.889999,135.889999,13753200
2019-08-05,137.929993,138.639999,137.050003,137.789993,137.789993,17519800
2019-08-06,138.330002,139.029999,138.009995,138.910004,138.910004,9471200
2019-08-07,141.279999,142.470001,140.880005,141.020004,141.020004,26671100
2019-08-08,140.899994,142.369995,140.710007,141.729996,141.729996,13108600
2019-08-09,141.279999,142.029999,140.960007,141.259995,141.259995,9485900
2019-08-12,141.669998,143.380005,141.639999,142.630005,142.630005,15264000
2019-08-13,143.169998,143.289993,139.350006,141.779999,141.779999,29842800
2019-08-14,142.899994,143.750000,142.050003,142.750000,142.750000,20672900
2019-08-15,142.960007,144.020004,142.610001,143.699997,143.699997,13467800
2019-08-16,142.750000,143.130005,141.800003,142.779999,142.779999,11728800
2019-08-19,141.330002,141.789993,140.850006,141.110001,141.110001,10552700
2019-08-20,141.770004,142.259995,141.600006,142.210007,142.210007,7478500
2019-08-21,141.619995,142.169998,141.460007,141.759995,141.759995,8114700
2019-08-22,141.389999,141.899994,141.169998,141.399994,141.399994,6846500
2019-08-23,141.839996,144.330002,141.639999,144.169998,144.169998,20282200
2019-08-26,144.350006,144.970001,143.910004,144.190002,144.190002,12195800
2019-08-27,144.300003,145.679993,144.270004,145.570007,145.570007,12844100
