Date,Open,High,Low,Close,Adj Close,Volume
2019-10-16,1.010000,1.030000,1.000000,1.020000,1.020000,2929900
2019-10-17,1.030000,1.060000,0.990000,1.010000,1.010000,6506000
2019-10-18,1.010000,1.020000,0.980000,1.000000,1.000000,5177000
2019-10-21,1.010000,1.020000,0.980000,1.020000,1.020000,3361600
2019-10-22,1.010000,1.080000,0.990000,1.070000,1.070000,6848100
2019-10-23,1.040000,1.100000,1.040000,1.060000,1.060000,7421300
2019-10-24,1.060000,1.080000,1.050000,1.060000,1.060000,4069800
2019-10-25,1.050000,1.060000,1.000000,1.010000,1.010000,6972300
2019-10-28,1.020000,1.050000,1.010000,1.020000,1.020000,2771300
2019-10-29,1.010000,1.040000,1.000000,1.030000,1.030000,3129700
2019-10-30,1.010000,1.030000,1.000000,1.010000,1.010000,4332200
2019-10-31,1.000000,1.010000,0.950000,1.000000,1.000000,5553200
2019-11-01,1.010000,1.040000,1.000000,1.030000,1.030000,4673300
2019-11-04,1.030000,1.060000,1.010000,1.010000,1.010000,6554200
2019-11-05,1.010000,1.060000,1.010000,1.050000,1.050000,6988000
2019-11-06,1.050000,1.060000,1.000000,1.020000,1.020000,5540600
2019-11-07,1.020000,1.050000,1.020000,1.040000,1.040000,3328300
2019-11-08,1.030000,1.050000,1.020000,1.030000,1.030000,2894400
2019-11-11,1.020000,1.100000,1.020000,1.080000,1.080000,15513500
2019-11-12,1.060000,1.150000,1.060000,1.140000,1.140000,12078000
2019-11-13,1.150000,1.170000,1.050000,1.090000,1.090000,8990700
2019-11-14,1.100000,1.160000,1.080000,1.100000,1.100000,8967800
2019-11-15,1.230000,1.230000,1.140000,1.170000,1.170000,28495600
2019-11-18,1.150000,1.170000,1.060000,1.060000,1.060000,10297900
2019-11-19,1.060000,1.100000,1.010000,1.070000,1.070000,6427200
2019-11-20,1.080000,1.140000,1.060000,1.110000,1.110000,8186600
2019-11-21,1.140000,1.140000,1.050000,1.080000,1.080000,8293900
2019-11-22,1.080000,1.120000,1.070000,1.100000,1.100000,6240100
2019-11-25,1.100000,1.170000,1.090000,1.150000,1.150000,8827900
2019-11-26,1.150000,1.200000,1.150000,1.170000,1.170000,7513900
2019-11-27,1.180000,1.200000,1.110000,1.110000,1.110000,7628100
2019-11-29,1.130000,1.150000,1.120000,1.130000,1.130000,2741300
2019-12-02,1.150000,1.150000,1.090000,1.100000,1.100000,6139400
2019-12-03,1.110000,1.140000,1.090000,1.130000,1.130000,3463700
2019-12-04,1.120000,1.160000,1.120000,1.140000,1.140000,5375300
2019-12-05,1.130000,1.170000,1.080000,1.100000,1.100000,9997700
2019-12-06,1.100000,1.140000,1.100000,1.130000,1.130000,11246000
2019-12-09,1.100000,1.160000,1.100000,1.140000,1.140000,4442500
2019-12-10,1.150000,1.170000,1.140000,1.170000,1.170000,3231600
2019-12-11,1.170000,1.170000,1.120000,1.130000,1.130000,4107700
2019-12-12,1.120000,1.150000,1.110000,1.130000,1.130000,3759600
2019-12-13,1.140000,1.150000,1.100000,1.110000,1.110000,4981200
2019-12-16,1.110000,1.130000,1.090000,1.100000,1.100000,5248000
2019-12-17,1.100000,1.110000,1.040000,1.060000,1.060000,10548200
2019-12-18,1.040000,1.090000,1.040000,1.060000,1.060000,6491200
2019-12-19,1.080000,1.090000,1.070000,1.090000,1.090000,3673200
2019-12-20,1.090000,1.100000,1.050000,1.080000,1.080000,10099900
2019-12-23,1.080000,1.110000,1.070000,1.100000,1.100000,5768200
2019-12-24,1.100000,1.110000,1.080000,1.100000,1.100000,2946800
2019-12-26,1.100000,1.150000,1.100000,1.150000,1.150000,6564700
2019-12-27,1.140000,1.150000,1.120000,1.140000,1.140000,5504600
2019-12-30,1.130000,1.140000,1.100000,1.110000,1.110000,5010300
2019-12-31,1.100000,1.130000,1.100000,1.120000,1.120000,6741600
2020-01-02,1.120000,1.130000,1.100000,1.120000,1.120000,4528700
2020-01-03,1.100000,1.120000,1.080000,1.100000,1.100000,4524700
2020-01-06,1.080000,1.130000,1.080000,1.120000,1.120000,4967600
2020-01-07,1.120000,1.180000,1.110000,1.180000,1.180000,7821200
2020-01-08,1.180000,1.250000,1.150000,1.200000,1.200000,9706700
2020-01-09,1.180000,1.190000,1.050000,1.070000,1.070000,14700900
2020-01-10,1.080000,1.080000,1.000000,1.010000,1.010000,8023800
2020-01-13,0.990000,0.990000,0.820000,0.850000,0.850000,24441500
2020-01-14,0.860000,0.870000,0.780000,0.800000,0.800000,16692700
2020-01-15,0.810000,0.820000,0.760000,0.770000,0.770000,14017000
2020-01-16,0.780000,0.860000,0.750000,0.840000,0.840000,14711600
2020-01-17,0.860000,0.870000,0.840000,0.850000,0.850000,5620500
2020-01-21,0.840000,0.840000,0.790000,0.810000,0.810000,6454800
2020-01-22,0.810000,0.820000,0.780000,0.790000,0.790000,7014400
2020-01-23,0.790000,0.820000,0.780000,0.810000,0.810000,5956600
2020-01-24,0.820000,0.820000,0.780000,0.800000,0.800000,5936400
2020-01-27,0.780000,0.790000,0.760000,0.790000,0.790000,5015600
2020-01-28,0.800000,0.820000,0.760000,0.800000,0.800000,5570900
2020-01-29,0.810000,0.820000,0.790000,0.800000,0.800000,3011000
2020-01-30,0.790000,0.800000,0.760000,0.780000,0.780000,3836600
2020-01-31,0.780000,0.790000,0.740000,0.750000,0.750000,7333300
2020-02-03,0.740000,0.740000,0.700000,0.710000,0.710000,8037500
2020-02-04,0.710000,0.740000,0.710000,0.710000,0.710000,4643200
2020-02-05,0.740000,0.740000,0.720000,0.730000,0.730000,5363300
2020-02-06,0.730000,0.740000,0.710000,0.730000,0.730000,4817300
2020-02-07,0.730000,0.730000,0.690000,0.690000,0.690000,6779400
2020-02-10,0.700000,0.740000,0.700000,0.710000,0.710000,5561100
2020-02-11,0.720000,0.730000,0.710000,0.710000,0.710000,4673200
2020-02-12,0.740000,0.750000,0.720000,0.740000,0.740000,6586800
2020-02-13,0.740000,0.750000,0.710000,0.720000,0.720000,4358900
2020-02-14,0.720000,0.740000,0.710000,0.710000,0.710000,4763200
2020-02-18,0.720000,0.720000,0.700000,0.710000,0.710000,8289900
2020-02-19,0.700000,0.740000,0.700000,0.710000,0.710000,6053300
2020-02-20,0.710000,0.790000,0.710000,0.770000,0.770000,8763000
2020-02-21,0.780000,0.790000,0.710000,0.720000,0.720000,8532700
2020-02-24,0.700000,0.700000,0.670000,0.690000,0.690000,9634100
2020-02-25,0.690000,0.710000,0.680000,0.700000,0.700000,9806200
2020-02-26,0.700000,0.730000,0.700000,0.730000,0.730000,11061900
2020-02-27,0.720000,0.720000,0.620000,0.690000,0.690000,16595100
2020-02-28,0.700000,0.700000,0.630000,0.690000,0.690000,8580100
2020-03-02,0.670000,0.700000,0.630000,0.690000,0.690000,9289100
2020-03-03,0.680000,0.680000,0.640000,0.660000,0.660000,7055900
2020-03-04,0.670000,0.690000,0.640000,0.650000,0.650000,5559700
2020-03-05,0.650000,0.650000,0.610000,0.620000,0.620000,6882800
2020-03-06,0.610000,0.640000,0.600000,0.610000,0.610000,8097600
2020-03-09,0.580000,0.610000,0.550000,0.590000,0.590000,9756100
2020-03-10,0.580000,0.610000,0.560000,0.570000,0.570000,7987800
2020-03-11,0.550000,0.570000,0.500000,0.500000,0.500000,8267400
2020-03-12,0.430000,0.430000,0.360000,0.410000,0.410000,12997300
2020-03-13,0.470000,0.600000,0.430000,0.600000,0.600000,12197200
2020-03-16,0.420000,0.570000,0.400000,0.540000,0.540000,9389400
2020-03-17,0.530000,0.550000,0.470000,0.510000,0.510000,8860000
2020-03-18,0.490000,0.490000,0.380000,0.410000,0.410000,9704700
2020-03-19,0.410000,0.530000,0.410000,0.500000,0.500000,7555300
2020-03-20,0.490000,0.500000,0.410000,0.450000,0.450000,14556200
2020-03-23,0.440000,0.440000,0.390000,0.400000,0.400000,9084000
2020-03-24,0.420000,0.440000,0.410000,0.440000,0.440000,6579300
2020-03-25,0.450000,0.450000,0.410000,0.420000,0.420000,7705500
2020-03-26,0.410000,0.420000,0.390000,0.400000,0.400000,9569100
2020-03-27,0.400000,0.410000,0.380000,0.380000,0.380000,5949700
2020-03-30,0.390000,0.390000,0.360000,0.370000,0.370000,5626900
2020-03-31,0.380000,0.390000,0.360000,0.360000,0.360000,6062100
2020-04-01,0.350000,0.360000,0.310000,0.330000,0.330000,9711600
2020-04-02,0.330000,0.330000,0.300000,0.300000,0.300000,7849700
2020-04-03,0.290000,0.300000,0.260000,0.270000,0.270000,8117400
2020-04-06,0.300000,0.330000,0.280000,0.320000,0.320000,9772300
2020-04-07,0.360000,0.370000,0.320000,0.320000,0.320000,12007400
2020-04-08,0.340000,0.350000,0.320000,0.330000,0.330000,5041400
2020-04-09,0.350000,0.370000,0.330000,0.340000,0.340000,9055300
2020-04-13,0.350000,0.350000,0.320000,0.330000,0.330000,3744900
2020-04-14,0.330000,0.350000,0.310000,0.320000,0.320000,13372500
2020-04-15,0.210000,0.300000,0.200000,0.230000,0.230000,46981000
2020-04-16,0.240000,0.260000,0.240000,0.250000,0.250000,15582900
2020-04-17,0.260000,0.280000,0.240000,0.280000,0.280000,25137500
2020-04-20,0.260000,0.260000,0.250000,0.250000,0.250000,9445700
